guide_type,restaurant_name,restaurant_Type,restaurant_operating hours,restaurant_rating,restaurant_average cost per person,restaurant_price evaluation,restaurant_address
Restaurant,Sunny Eats,Japanese,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,4.4,$60 - $80,Inexpensive,"114 Main St, Bernal Heights, San Francisco, CA"
Restaurant,La Ciccia,Greek,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,4.7,$80 - $120,Expensive,"640 Broadway, Sunset, San Francisco, CA"
Restaurant,Cozy Café,Italian,Daily: 10:00 am - 9:00 pm,4.7,$40 - $60,Moderate,"683 Market St, North Beach, San Francisco, CA"
Restaurant,Urban Café,Japanese,Daily: 10:00 am - 9:00 pm,3.9,$60 - $80,Expensive,"267 Market St, Richmond, San Francisco, CA"
Restaurant,Urban Bistro,Italian,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,3.9,$80 - $120,Moderate,"638 Broadway, Richmond, San Francisco, CA"
Restaurant,Elegant Eats,Japanese,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,3.7,$80 - $120,Moderate,"919 Main St, Bernal Heights, San Francisco, CA"
Restaurant,Sunny Grill,Mexican,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,4.3,$25 - $40,Inexpensive,"965 Van Ness Ave, Haight-Ashbury, San Francisco, CA"
Restaurant,Sunny Eats,Chinese,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,4.3,$15 - $25,Very Expensive,"164 Van Ness Ave, Pacific Heights, San Francisco, CA"
Restaurant,Tasty Spot,Indian,Daily: 10:00 am - 9:00 pm,4.5,$15 - $25,Moderate,"769 Market St, Sunset, San Francisco, CA"
Restaurant,Elegant Bistro,Greek,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,3.9,$15 - $25,Very Expensive,"348 Main St, Potrero Hill, San Francisco, CA"
Restaurant,Elegant Bistro,French,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,3.8,$40 - $60,Inexpensive,"315 Union St, Sunset, San Francisco, CA"
Restaurant,Cozy Diner,Chinese,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,4.8,$40 - $60,Expensive,"469 Union St, Chinatown, San Francisco, CA"
Restaurant,Elegant Eats,Greek,Daily: 10:00 am - 9:00 pm,4.7,$15 - $25,Expensive,"129 Broadway, Richmond, San Francisco, CA"
Restaurant,Sunny Diner,Thai,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,3.8,$60 - $80,Inexpensive,"175 Van Ness Ave, Nob Hill, San Francisco, CA"
Restaurant,Sunny Spot,Indian,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,3.5,$25 - $40,Moderate,"671 Fulton St, Financial District, San Francisco, CA"
Restaurant,Tasty Kitchen,Mexican,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,4.4,$15 - $25,Inexpensive,"733 Mission St, Haight-Ashbury, San Francisco, CA"
Restaurant,Elegant Spot,Greek,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,4.7,$25 - $40,Moderate,"452 Chestnut St, North Beach, San Francisco, CA"
Restaurant,Urban Bistro,Greek,Daily: 10:00 am - 9:00 pm,4,$60 - $80,Moderate,"111 Union St, Haight-Ashbury, San Francisco, CA"
Restaurant,Tasty Kitchen,Chinese,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,3.8,$25 - $40,Expensive,"751 Main St, SoMa, San Francisco, CA"
Restaurant,Elegant Grill,American,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,5,$60 - $80,Inexpensive,"758 Main St, Potrero Hill, San Francisco, CA"
Restaurant,Bayview Spot,Chinese,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,3.7,$15 - $25,Inexpensive,"762 Main St, Mission District, San Francisco, CA"
Restaurant,Urban Spot,Italian,Daily: 10:00 am - 9:00 pm,4.9,$60 - $80,Very Expensive,"970 Union St, Castro, San Francisco, CA"
Restaurant,Sunny Eats,Chinese,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,4.3,$25 - $40,Moderate,"536 Market St, Castro, San Francisco, CA"
Restaurant,Sunny Eats,Mexican,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,3.5,$40 - $60,Expensive,"282 Chestnut St, SoMa, San Francisco, CA"
Restaurant,Bayview Bistro,Chinese,Daily: 10:00 am - 9:00 pm,4.8,$25 - $40,Very Expensive,"916 Mission St, Castro, San Francisco, CA"
Restaurant,Bayview Diner,Korean,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,3.5,$15 - $25,Moderate,"753 Broadway, Haight-Ashbury, San Francisco, CA"
Restaurant,Benu,Greek,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,3.9,$15 - $25,Very Expensive,"841 Fulton St, Richmond, San Francisco, CA"
Restaurant,Bayview Grill,Chinese,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,4.2,$60 - $80,Very Expensive,"247 Main St, Mission District, San Francisco, CA"
Restaurant,Sunny Diner,Japanese,Daily: 10:00 am - 9:00 pm,3.7,$60 - $80,Moderate,"539 Van Ness Ave, Nob Hill, San Francisco, CA"
Restaurant,Fog Harbor Fish House,Chinese,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,4.9,$80 - $120,Expensive,"990 Market St, Marina, San Francisco, CA"
Restaurant,Elegant Kitchen,Greek,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,4,$25 - $40,Inexpensive,"240 Fulton St, Potrero Hill, San Francisco, CA"
Restaurant,Zuni Café,Greek,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,3.5,$60 - $80,Expensive,"504 Broadway, Bernal Heights, San Francisco, CA"
Restaurant,Original Joe's,Chinese,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,4.8,$15 - $25,Very Expensive,"443 Chestnut St, Castro, San Francisco, CA"
Restaurant,Tasty Grill,Indian,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,4.5,$80 - $120,Inexpensive,"484 Fulton St, Financial District, San Francisco, CA"
Restaurant,Bayview Eats,Mexican,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,4.5,$15 - $25,Inexpensive,"474 Mission St, Bernal Heights, San Francisco, CA"
Restaurant,Vintage Spot,Greek,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,3.6,$80 - $120,Expensive,"269 Chestnut St, Castro, San Francisco, CA"
Restaurant,Vintage Grill,Japanese,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,3.5,$60 - $80,Very Expensive,"872 Chestnut St, Chinatown, San Francisco, CA"
Restaurant,Urban Eats,Chinese,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,4.8,$40 - $60,Moderate,"743 Union St, Sunset, San Francisco, CA"
Restaurant,Sunny Spot,Thai,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,4.1,$25 - $40,Expensive,"781 Main St, Pacific Heights, San Francisco, CA"
Restaurant,Elegant House,Chinese,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,3.8,$60 - $80,Inexpensive,"122 Chestnut St, Bernal Heights, San Francisco, CA"
Restaurant,Golden Kitchen,American,Daily: 10:00 am - 9:00 pm,4.3,$25 - $40,Moderate,"181 Mission St, Pacific Heights, San Francisco, CA"
Restaurant,Elegant Bistro,Japanese,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,3.9,$80 - $120,Moderate,"560 Market St, Richmond, San Francisco, CA"
Restaurant,Golden House,Japanese,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,4.9,$25 - $40,Moderate,"571 Union St, Richmond, San Francisco, CA"
Restaurant,Cozy Diner,Greek,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,3.6,$25 - $40,Expensive,"601 Market St, Chinatown, San Francisco, CA"
Restaurant,Tasty Bistro,Italian,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,3.7,$25 - $40,Very Expensive,"627 Fulton St, Pacific Heights, San Francisco, CA"
Restaurant,Cozy Grill,Mexican,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,3.7,$60 - $80,Very Expensive,"905 Chestnut St, SoMa, San Francisco, CA"
Restaurant,Urban House,Korean,Daily: 10:00 am - 9:00 pm,4.7,$40 - $60,Very Expensive,"401 Main St, Pacific Heights, San Francisco, CA"
Restaurant,Golden Grill,Japanese,Daily: 10:00 am - 9:00 pm,4.8,$80 - $120,Moderate,"252 Mission St, Chinatown, San Francisco, CA"
Restaurant,Atelier Crenn,American,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,3.9,$40 - $60,Inexpensive,"915 Union St, Haight-Ashbury, San Francisco, CA"
Restaurant,Vintage House,Indian,Daily: 10:00 am - 9:00 pm,4.8,$40 - $60,Expensive,"139 Union St, Nob Hill, San Francisco, CA"
Restaurant,Cozy Café,Indian,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,4.7,$80 - $120,Inexpensive,"133 Main St, Pacific Heights, San Francisco, CA"
Restaurant,Sunny Diner,Greek,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,3.9,$60 - $80,Moderate,"752 Chestnut St, Financial District, San Francisco, CA"
Restaurant,Foreign Cinema,French,Daily: 10:00 am - 9:00 pm,3.5,$25 - $40,Moderate,"311 Market St, North Beach, San Francisco, CA"
Restaurant,Urban Eats,Chinese,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,4.5,$40 - $60,Moderate,"895 Union St, SoMa, San Francisco, CA"
Restaurant,Tasty Eats,Greek,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,3.7,$80 - $120,Moderate,"599 Fulton St, Nob Hill, San Francisco, CA"
Restaurant,Bayview Grill,Japanese,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,4,$80 - $120,Very Expensive,"734 Chestnut St, Nob Hill, San Francisco, CA"
Restaurant,Vintage Bistro,Korean,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,3.8,$60 - $80,Inexpensive,"469 Fulton St, Pacific Heights, San Francisco, CA"
Restaurant,Cozy Spot,Mexican,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,4.7,$80 - $120,Moderate,"797 Market St, Richmond, San Francisco, CA"
Restaurant,Bayview Eats,Korean,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,3.8,$80 - $120,Inexpensive,"374 Mission St, Chinatown, San Francisco, CA"
Restaurant,Golden Bistro,Chinese,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,4.8,$60 - $80,Expensive,"849 Mission St, Chinatown, San Francisco, CA"
Restaurant,Elegant Diner,American,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,3.9,$60 - $80,Moderate,"227 Chestnut St, Financial District, San Francisco, CA"
Restaurant,Vintage Bistro,Mexican,Daily: 10:00 am - 9:00 pm,3.5,$60 - $80,Expensive,"360 Fulton St, Bernal Heights, San Francisco, CA"
Restaurant,Cozy House,Thai,Daily: 10:00 am - 9:00 pm,4.6,$80 - $120,Moderate,"748 Union St, Richmond, San Francisco, CA"
Restaurant,Urban Eats,Greek,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,3.6,$80 - $120,Expensive,"882 Van Ness Ave, Mission District, San Francisco, CA"
Restaurant,Elegant Café,Mexican,Daily: 10:00 am - 9:00 pm,4.7,$25 - $40,Very Expensive,"259 Broadway, Financial District, San Francisco, CA"
Restaurant,Bayview Spot,Japanese,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,3.7,$80 - $120,Expensive,"995 Mission St, Financial District, San Francisco, CA"
Restaurant,Cozy Grill,Thai,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,4.4,$60 - $80,Expensive,"673 Union St, Pacific Heights, San Francisco, CA"
Restaurant,Bayview House,Japanese,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,3.6,$60 - $80,Expensive,"135 Mission St, Nob Hill, San Francisco, CA"
Restaurant,Golden Eats,American,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,3.8,$40 - $60,Very Expensive,"974 Union St, Haight-Ashbury, San Francisco, CA"
Restaurant,Vintage Grill,Korean,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,4.6,$80 - $120,Expensive,"229 Fulton St, North Beach, San Francisco, CA"
Restaurant,Cozy Grill,Thai,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,4.7,$60 - $80,Very Expensive,"282 Market St, Financial District, San Francisco, CA"
Restaurant,Sunny Diner,French,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,3.8,$60 - $80,Moderate,"784 Market St, Chinatown, San Francisco, CA"
Restaurant,Vintage Spot,American,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,3.7,$15 - $25,Expensive,"858 Main St, Pacific Heights, San Francisco, CA"
Restaurant,Vintage Kitchen,French,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,4.4,$15 - $25,Moderate,"332 Market St, Financial District, San Francisco, CA"
Restaurant,Bayview Eats,Japanese,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,4.9,$80 - $120,Moderate,"314 Van Ness Ave, Richmond, San Francisco, CA"
Restaurant,Cozy Spot,Japanese,Daily: 10:00 am - 9:00 pm,4.9,$15 - $25,Moderate,"752 Fulton St, Potrero Hill, San Francisco, CA"
Restaurant,Tasty Café,Greek,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,4.2,$60 - $80,Moderate,"536 Broadway, Pacific Heights, San Francisco, CA"
Restaurant,Cozy Diner,Japanese,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,4.2,$25 - $40,Expensive,"651 Van Ness Ave, SoMa, San Francisco, CA"
Restaurant,Vintage Bistro,French,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,4.4,$15 - $25,Very Expensive,"893 Mission St, Haight-Ashbury, San Francisco, CA"
Restaurant,Cozy Grill,Thai,Daily: 10:00 am - 9:00 pm,3.6,$25 - $40,Inexpensive,"105 Van Ness Ave, Financial District, San Francisco, CA"
Restaurant,Tasty Diner,Chinese,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,4.1,$40 - $60,Inexpensive,"996 Chestnut St, Richmond, San Francisco, CA"
Restaurant,Elegant Bistro,Chinese,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,3.8,$25 - $40,Inexpensive,"759 Van Ness Ave, SoMa, San Francisco, CA"
Restaurant,Tartine Manufactory,French,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,4.4,$40 - $60,Very Expensive,"323 Van Ness Ave, Sunset, San Francisco, CA"
Restaurant,Sunny Grill,Greek,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,4.2,$40 - $60,Very Expensive,"620 Main St, Marina, San Francisco, CA"
Restaurant,Vintage Kitchen,Chinese,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,3.9,$25 - $40,Very Expensive,"687 Main St, Haight-Ashbury, San Francisco, CA"
Restaurant,Urban Diner,French,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,4.6,$80 - $120,Inexpensive,"264 Chestnut St, Mission District, San Francisco, CA"
Restaurant,Tasty Diner,Italian,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,4,$80 - $120,Moderate,"828 Main St, Castro, San Francisco, CA"
Restaurant,Vintage Kitchen,Greek,Daily: 10:00 am - 9:00 pm,4.7,$40 - $60,Inexpensive,"428 Chestnut St, Richmond, San Francisco, CA"
Restaurant,Urban Café,Indian,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,4,$80 - $120,Inexpensive,"122 Union St, Chinatown, San Francisco, CA"
Restaurant,Urban Grill,Mexican,Daily: 10:00 am - 9:00 pm,3.6,$60 - $80,Inexpensive,"942 Fulton St, Pacific Heights, San Francisco, CA"
Restaurant,Nari,Italian,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,4.2,$40 - $60,Expensive,"447 Chestnut St, SoMa, San Francisco, CA"
Restaurant,Gary Danko,Korean,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,3.9,$60 - $80,Expensive,"279 Main St, Marina, San Francisco, CA"
Restaurant,Cozy Grill,Indian,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,3.7,$40 - $60,Moderate,"850 Main St, Nob Hill, San Francisco, CA"
Restaurant,Urban House,French,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,4.6,$15 - $25,Very Expensive,"512 Union St, Chinatown, San Francisco, CA"
Restaurant,Vintage Kitchen,Japanese,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,3.6,$60 - $80,Very Expensive,"155 Mission St, Bernal Heights, San Francisco, CA"
Restaurant,Cozy Bistro,Korean,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,3.6,$40 - $60,Inexpensive,"237 Union St, Sunset, San Francisco, CA"
Restaurant,Tasty Eats,Thai,Daily: 10:00 am - 9:00 pm,3.7,$40 - $60,Very Expensive,"193 Main St, Richmond, San Francisco, CA"
Restaurant,State Bird Provisions,Greek,Daily: 10:00 am - 9:00 pm,3.7,$80 - $120,Very Expensive,"680 Fulton St, Pacific Heights, San Francisco, CA"
Restaurant,Sunny Café,Japanese,Daily: 10:00 am - 9:00 pm,4.3,$25 - $40,Expensive,"635 Union St, Marina, San Francisco, CA"
Restaurant,Urban Bistro,Korean,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,4.4,$60 - $80,Moderate,"950 Mission St, SoMa, San Francisco, CA"
Restaurant,Cozy Grill,Indian,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,4.9,$40 - $60,Expensive,"859 Van Ness Ave, Potrero Hill, San Francisco, CA"
Restaurant,Tasty Kitchen,Greek,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,3.7,$25 - $40,Moderate,"940 Union St, Nob Hill, San Francisco, CA"
Restaurant,Tasty House,Japanese,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,4,$25 - $40,Very Expensive,"752 Fulton St, Financial District, San Francisco, CA"
Restaurant,Bayview Diner,Korean,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,4.9,$25 - $40,Inexpensive,"132 Broadway, Haight-Ashbury, San Francisco, CA"
Restaurant,Tasty Café,Chinese,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,4.4,$25 - $40,Inexpensive,"170 Fulton St, Pacific Heights, San Francisco, CA"
Restaurant,Urban Kitchen,French,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,4.6,$60 - $80,Very Expensive,"996 Market St, Financial District, San Francisco, CA"
Restaurant,Elegant Kitchen,French,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,4.7,$60 - $80,Very Expensive,"257 Broadway, Haight-Ashbury, San Francisco, CA"
Restaurant,Golden Kitchen,Thai,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,4.7,$80 - $120,Inexpensive,"620 Broadway, Haight-Ashbury, San Francisco, CA"
Restaurant,Golden Spot,French,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,4.3,$40 - $60,Very Expensive,"894 Market St, Sunset, San Francisco, CA"
Restaurant,Cozy Diner,Japanese,Daily: 10:00 am - 9:00 pm,4.4,$80 - $120,Very Expensive,"302 Broadway, Potrero Hill, San Francisco, CA"
Restaurant,Bayview Diner,Korean,Daily: 10:00 am - 9:00 pm,3.7,$80 - $120,Expensive,"270 Chestnut St, Marina, San Francisco, CA"
Restaurant,Vintage Spot,Greek,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,4.4,$15 - $25,Very Expensive,"806 Market St, Richmond, San Francisco, CA"
Restaurant,Kiln,French,Daily: 10:00 am - 9:00 pm,4.7,$25 - $40,Moderate,"948 Mission St, Sunset, San Francisco, CA"
Restaurant,Sunny Eats,Italian,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,3.7,$15 - $25,Moderate,"481 Market St, Castro, San Francisco, CA"
Restaurant,Bayview Grill,Thai,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,4.4,$80 - $120,Inexpensive,"623 Chestnut St, Richmond, San Francisco, CA"
Restaurant,Golden Spot,Thai,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,3.8,$15 - $25,Expensive,"994 Main St, Nob Hill, San Francisco, CA"
Restaurant,Elegant Bistro,Italian,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,3.7,$25 - $40,Expensive,"137 Van Ness Ave, Financial District, San Francisco, CA"
Restaurant,Tasty Café,Italian,Daily: 10:00 am - 9:00 pm,3.6,$60 - $80,Inexpensive,"186 Fulton St, Castro, San Francisco, CA"
Restaurant,Vintage Eats,French,Daily: 10:00 am - 9:00 pm,4.3,$15 - $25,Very Expensive,"568 Van Ness Ave, Pacific Heights, San Francisco, CA"
Restaurant,Cozy Spot,Italian,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,3.9,$80 - $120,Expensive,"305 Market St, Sunset, San Francisco, CA"
Restaurant,Bayview Eats,Chinese,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,4.3,$25 - $40,Expensive,"197 Fulton St, Richmond, San Francisco, CA"
Restaurant,Golden Boy Pizza,Italian,Daily: 10:00 am - 9:00 pm,3.6,$15 - $25,Expensive,"585 Chestnut St, Pacific Heights, San Francisco, CA"
Restaurant,Urban Diner,Indian,Daily: 10:00 am - 9:00 pm,4.8,$25 - $40,Very Expensive,"127 Market St, Financial District, San Francisco, CA"
Restaurant,Elegant Diner,Italian,Daily: 10:00 am - 9:00 pm,4.8,$60 - $80,Moderate,"806 Mission St, Castro, San Francisco, CA"
Restaurant,Cozy Diner,Chinese,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,4.7,$25 - $40,Expensive,"658 Broadway, Castro, San Francisco, CA"
Restaurant,Cozy Bistro,Chinese,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,4.7,$60 - $80,Moderate,"549 Van Ness Ave, Pacific Heights, San Francisco, CA"
Restaurant,Sunny House,Japanese,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,4.5,$25 - $40,Expensive,"205 Fulton St, Potrero Hill, San Francisco, CA"
Restaurant,Tasty Grill,Mexican,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,3.8,$80 - $120,Expensive,"646 Mission St, Bernal Heights, San Francisco, CA"
Restaurant,Elegant Grill,Thai,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,4.2,$25 - $40,Very Expensive,"115 Fulton St, North Beach, San Francisco, CA"
Restaurant,Tasty Grill,Japanese,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,4.7,$60 - $80,Very Expensive,"679 Broadway, Marina, San Francisco, CA"
Restaurant,Elegant Kitchen,French,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,4,$60 - $80,Moderate,"984 Van Ness Ave, SoMa, San Francisco, CA"
Restaurant,Urban Grill,Japanese,Daily: 10:00 am - 9:00 pm,3.8,$15 - $25,Inexpensive,"368 Chestnut St, Marina, San Francisco, CA"
Restaurant,Vintage Grill,Japanese,Daily: 10:00 am - 9:00 pm,4.8,$80 - $120,Inexpensive,"489 Chestnut St, Nob Hill, San Francisco, CA"
Restaurant,Urban Eats,Greek,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,4.8,$25 - $40,Moderate,"891 Union St, Castro, San Francisco, CA"
Restaurant,Golden Diner,Mexican,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,4.6,$80 - $120,Expensive,"882 Mission St, North Beach, San Francisco, CA"
Restaurant,Cozy Café,American,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,3.6,$60 - $80,Inexpensive,"309 Chestnut St, Potrero Hill, San Francisco, CA"
