guide_type,nightspots_type,nightspots_name,nightspots_description,nightspots_location,nightspots_highlight
Nightspots,Bar,The View Lounge,"Located atop the Marriott Marquis, this lounge offers sweeping views of the city skyline alongside a menu of signature cocktails.",780 Mission Street,Perfect for a relaxed evening with panoramic vistas.
Nightspots,Club,Audio Discotech,"Features a Funktion-One sound system and hosts international DJs, focusing on house and techno genres.",316 11th Street,Ideal for audiophiles seeking high-quality electronic music events.
Nightspots,Bar,Trick Dog,"A bi-level bar known for its inventive cocktail menu and artistic presentation, with a frequently changing theme.",3010 20th Street,Great for cocktail enthusiasts looking for creative and seasonal drinks.
Nightspots,Club,Public Works,"A community-minded nightclub and event space hosting a variety of music genres, art shows, and performances.",161 Erie Street,Known for its inclusive atmosphere and diverse event lineup.
Nightspots,Bar,Charmaine's,"A chic rooftop bar offering craft cocktails and small plates, with stylish decor and outdoor seating.",1100 Market Street,Ideal for a trendy night out with city views.
Nightspots,Club,F8 Nightclub & Bar,"An intimate venue featuring diverse music genres, from techno to hip-hop, with themed nights and local DJs.",1192 Folsom Street,Ideal for those seeking an underground club experience.
Nightspots,Bar,The Valencia Room,"A historic bar and lounge offering live music, DJ sets, and a dance floor, blending vintage charm with modern vibes.",647 Valencia Street,Perfect for patrons who appreciate a mix of live performances and DJ nights.
Nightspots,Club,The Midway,"A dynamic space combining art, music, and food, hosting large-scale events with international DJs and immersive art installations.",900 Marin Street,Suitable for those looking for a multifaceted nightlife experience.
Nightspots,Bar,The Pink Elephant,"A lively bar known for its signature oversized cocktails and energetic dance floor, often featuring live DJs.",142 Minna Street,Great for groups seeking a fun and vibrant atmosphere.
Nightspots,Club,Oasis,"A renowned LGBTQ+ nightclub offering drag shows, dance parties, and cabaret performances in a spacious setting.",298 11th Street,Celebrated for its inclusive environment and top-tier drag performances.
Nightspots,Bar,The Stud,"A historic LGBTQ+ bar featuring eclectic events, from drag shows to karaoke, fostering a welcoming community vibe.",399 9th Street,"Known for its rich history and diverse, inclusive events."
Nightspots,Club,The Great American Music Hall,"A beautifully ornate venue hosting live music performances across genres, with a dance floor and balcony seating.",859 O'Farrell Street,Ideal for concert-goers seeking an intimate yet grand setting.
Nightspots,Bar,The Saloon,"San Francisco's oldest bar, offering live blues music in a rustic, historic setting.",1232 Grant Avenue,Perfect for blues enthusiasts and history buffs.
Nightspots,Club,Mezzanine,"A spacious club featuring live music and DJ events, with a mezzanine level offering excellent views of the stage.",444 Jessie Street,Suitable for those who enjoy a mix of live bands and DJ sets in a modern space.
Nightspots,Bar,Bourbon & Branch,"A Prohibition-era styled speakeasy offering crafted cocktails in an intimate, secretive atmosphere.",501 Jones Street,Ideal for cocktail aficionados seeking a clandestine bar experience.
Nightspots,Club,1015 Folsom,"A large, multi-level nightclub hosting international DJs and themed dance nights, featuring state-of-the-art sound and lighting systems.",1015 Folsom Street,Known for its expansive space and high-energy electronic music events.
Nightspots,Bar,The Hidden Vine,"A cozy wine bar offering an extensive selection of wines in a relaxed, intimate setting, complete with a bocce ball court.",408 Merchant Street,Perfect for wine lovers seeking a quiet evening.
Nightspots,Club,Elbo Room,"A bi-level club featuring live music downstairs and a tiki-themed lounge upstairs, hosting diverse musical acts and dance parties.",647 Valencia Street,Great for patrons who appreciate variety in music genres and settings.
Nightspots,Bar,Zeitgeist,"A popular beer garden offering a wide selection of beers on tap, with an expansive outdoor patio and occasional live music.",199 Valencia Street,Ideal for beer enthusiasts and those seeking a casual outdoor setting.
Nightspots,Club,The Fillmore,"A historic music venue known for its excellent acoustics and intimate atmosphere, hosting renowned artists across genres.",1805 Geary Boulevard,Celebrated for its rich musical history and iconic performances.
Nightspots,Bar,The Tonga Room & Hurricane Bar,"A tiki-themed bar offering tropical cocktails and live music, set in a unique setting with periodic indoor rainstorms.",950 Mason Street,Known for its kitschy decor and fun atmosphere.
Nightspots,Club,Slim's,"A live music nightclub featuring a variety of genres, from rock to blues, in an intimate setting with a full-service bar and kitchen.",333 11th Street,Ideal for live music fans seeking up-close performances.
Nightspots,Bar,The Interval at Long Now,"A futuristic bar and cafe offering inventive cocktails amidst exhibits from the Long Now Foundation, fostering deep conversations.",2 Marina Boulevard,Perfect for intellectually curious patrons interested in science and technology.
Nightspots,Club,The Warfield,"A historic theater-turned-music venue hosting major acts across genres, with both seating and standing areas.",982 Market Street,Suitable for concert-goers seeking a larger venue with rich history.
Nightspots,Bar,The Black Cat,"A jazz supper club offering live performances, craft cocktails, and a menu of modern American cuisine in a stylish, intimate setting.",400 Eddy Street,Ideal for jazz enthusiasts seeking a sophisticated night out.
Nightspots,Bar,The Interval at Long Now,"A futuristic bar and cafe offering inventive cocktails amidst exhibits from the Long Now Foundation, fostering deep conversations.",2 Marina Boulevard,Perfect for intellectually curious patrons interested in science and technology.
Nightspots,Club,The Warfield,"A historic theater-turned-music venue hosting major acts across genres, with both seating and standing areas.",982 Market Street,Suitable for concert-goers seeking a larger venue with rich history.
Nightspots,Bar,The Black Cat,"A jazz supper club offering live performances, craft cocktails, and a menu of modern American cuisine in a stylish, intimate setting.",400 Eddy Street,Ideal for jazz enthusiasts seeking a sophisticated night out.
Nightspots,Club,The Midway,"A dynamic space combining art, music, and food, hosting large-scale events with international DJs and immersive art installations.",900 Marin Street,Suitable for those looking for a multifaceted nightlife experience.
Nightspots,Bar,The Pink Elephant,"A lively bar known for its signature oversized cocktails and energetic dance floor, often featuring live DJs.",142 Minna Street,Great for groups seeking a fun and vibrant atmosphere.
Nightspots,Club,Oasis,"A renowned LGBTQ+ nightclub offering drag shows, dance parties, and cabaret performances in a spacious setting.",298 11th Street,Celebrated for its inclusive environment and top-tier drag performances.
Nightspots,Bar,The Stud,"A historic LGBTQ+ bar featuring eclectic events, from drag shows to karaoke, fostering a welcoming community vibe.",399 9th Street,"Known for its rich history and diverse, inclusive events."
Nightspots,Club,The Great American Music Hall,"A beautifully ornate venue hosting live music performances across genres, with a dance floor and balcony seating.",859 O'Farrell Street,Ideal for concert-goers seeking an intimate yet grand setting.
Nightspots,Bar,The Saloon,"San Francisco's oldest bar, offering live blues music in a rustic, historic setting.",1232 Grant Avenue,Perfect for blues enthusiasts and history buffs.
Nightspots,Club,Mezzanine,"A spacious club featuring live music and DJ events, with a mezzanine level offering excellent views of the stage.",444 Jessie Street,Suitable for those who enjoy a mix of live bands and DJ sets in a modern space.
Nightspots,Bar,Bourbon & Branch,"A Prohibition-era styled speakeasy offering crafted cocktails in an intimate, secretive atmosphere.",501 Jones Street,Ideal for cocktail aficionados seeking a clandestine bar experience.
Nightspots,Club,1015 Folsom,"A large, multi-level nightclub hosting international DJs and themed dance nights, featuring state-of-the-art sound and lighting systems.",1015 Folsom Street,Known for its expansive space and high-energy electronic music events.
Nightspots,Bar,The Hidden Vine,"A cozy wine bar offering an extensive selection of wines in a relaxed, intimate setting, complete with a bocce ball court.",408 Merchant Street,Perfect for wine lovers seeking a quiet evening.
Nightspots,Club,Elbo Room,"A bi-level club featuring live music downstairs and a tiki-themed lounge upstairs, hosting diverse musical acts and dance parties.",647 Valencia Street,Great for patrons who appreciate variety in music genres and settings.
Nightspots,Bar,Zeitgeist,"A popular beer garden offering a wide selection of beers on tap, with an expansive outdoor patio and occasional live music.",199 Valencia Street,Ideal for beer enthusiasts and those seeking a casual outdoor setting.
Nightspots,Club,The Fillmore,"A historic music venue known for its excellent acoustics and intimate atmosphere, hosting renowned artists across genres.",1805 Geary Boulevard,Celebrated for its rich musical history and iconic performances.
Nightspots,Bar,The Interval at Long Now,"A futuristic bar and cafe offering inventive cocktails amidst exhibits from the Long Now Foundation, fostering deep conversations.",2 Marina Boulevard,Perfect for intellectually curious patrons interested in science and technology.
Nightspots,Club,Slim's,"A live music nightclub featuring a variety of genres, from rock to blues, in an intimate setting with a full-service bar and kitchen.",333 11th Street,Ideal for live music fans seeking up-close performances.
Nightspots,Bar,The Interval at Long Now,"A futuristic bar and cafe offering inventive cocktails amidst exhibits from the Long Now Foundation, fostering deep conversations.",2 Marina Boulevard,Perfect for intellectually curious patrons interested in science and technology.
Nightspots,Club,The Warfield,"A historic theater-turned-music venue hosting major acts across genres, with both seating and standing areas.",982 Market Street,Suitable for concert-goers seeking a larger venue with rich history.
Nightspots,Bar,Bar Sprezzatura,A sophisticated bar offering classic Italian cocktails in an elegant setting.,300 Clay Street,"Ideal for those seeking a refined, European-style drinking experience."
Nightspots,Bar,Barbarossa Lounge,"A chic lounge known for its craft cocktails and plush, vintage-inspired decor.",714 Montgomery Street,"Perfect for patrons looking for an upscale, intimate atmosphere."
Nightspots,Bar,Pagan Idol,"A tiki bar featuring exotic cocktails, tropical decor, and occasional live music.",375 Bush Street,Great for those seeking an island escape in the heart of the city.
Nightspots,Bar,Rickhouse,"A whiskey-focused bar with a rustic ambiance, offering an extensive selection of spirits and handcrafted cocktails.",246 Kearny Street,Ideal for whiskey enthusiasts and fans of classic cocktails.
Nightspots,Bar,Novela,"A literary-themed bar with colorful cocktails named after famous literary characters, set in a vibrant, book-lined space.",662 Mission Street,Perfect for book lovers seeking a lively and thematic drinking spot.
Nightspots,Bar,The Barrel Room,"A cozy wine bar offering an extensive selection of wines from around the world, paired with a seasonal menu.",415 Sansome Street,Ideal for wine aficionados looking for a relaxed and intimate setting.
Nightspots,Bar,The Hidden Vine,"A secluded wine bar with a rustic-chic atmosphere, offering a curated selection of wines and a bocce ball court.",408 Merchant Street,Great for those seeking a hidden gem with a laid-back vibe.
Nightspots,Bar,The House of Shields,"A historic bar with classic decor, offering a selection of beers, wines, and cocktails in a timeless setting.",39 New Montgomery Street,Perfect for patrons interested in experiencing a piece of San Francisco's history.
Nightspots,Bar,The Homestead,"One of the city's oldest bars, featuring vintage decor and a laid-back atmosphere, serving a variety of beers and spirits.",2301 Folsom Street,Ideal for those seeking a historic and unpretentious drinking spot.
Nightspots,Bar,The Little Shamrock,"A historic Irish pub offering a cozy atmosphere, a selection of beers and whiskeys, and traditional pub games.",807 Lincoln Way,Great for those looking to enjoy a classic pub experience with a touch of history.
Nightspots,Bar,Shotwell's,"A neighborhood tavern with a wide selection of beers, a relaxed atmosphere, and historic charm.",3349 20th Street,Perfect for patrons seeking a casual and authentic local bar experience.
Nightspots,Bar,Northstar Cafe,"A longstanding bar known for its friendly service, affordable drinks, and lively atmosphere.",1560 Powell Street,Ideal for those looking for a welcoming neighborhood bar with character.
Nightspots,Bar,The Saloon,"San Francisco's oldest bar, offering live blues music in a rustic, historic setting.",1232 Grant Avenue,Perfect for blues enthusiasts and history buffs.
Nightspots,Bar,Vesuvio Cafe,"A historic bar known for its Beat Generation legacy, offering a cozy atmosphere with eclectic decor.",255 Columbus Avenue,Ideal for literary enthusiasts and those seeking a classic San Francisco bar experience.
Nightspots,Bar,Smuggler's Cove,"A pirate-themed bar specializing in rum-based cocktails, boasting an extensive menu in a cozy, dimly lit setting.",650 Gough Street,Great for rum enthusiasts and those seeking a unique themed bar experience.
Nightspots,Bar,The View Lounge,"Located atop the Marriott Marquis, this lounge offers sweeping views of the city skyline alongside a menu of signature cocktails.",780 Mission Street,Perfect for a relaxed evening with panoramic vistas.
Nightspots,Bar,620 Jones,"A rooftop bar offering a spacious patio with lush greenery, serving craft cocktails and light bites.",620 Jones Street,Ideal for open-air drinks in a garden-like setting.
Nightspots,Bar,Charmaine's,"A chic rooftop bar offering craft cocktails and small plates, with stylish decor and outdoor seating.",1100 Market Street,Ideal for a trendy night out with city views.
Nightspots,Bar,Trick Dog,"A bi-level bar known for its inventive cocktail menu and artistic presentation, with a frequently changing theme.",3010 20th Street,Great for cocktail enthusiasts looking for creative and seasonal drinks.
Nightspots,Bar,Zeitgeist,"A popular beer garden offering a wide selection of beers on tap, with an expansive outdoor patio and occasional live music.",199 Valencia Street,Ideal for beer enthusiasts and those seeking a casual outdoor setting.
Nightspots,Bar,Pacific Cocktail Haven,"Recognized as one of The World's 50 Best Bars, P.C.H. offers inventive cocktails in a cozy, tropical-themed setting.",580 Sutter Street,Ideal for cocktail enthusiasts seeking creative and award-winning drinks.
Nightspots,Bar,Céleste,A stylish bar known for its elegant ambiance and a menu featuring classic and contemporary cocktails.,417 Stockton Street,Perfect for those looking for a chic and sophisticated night out.
Nightspots,Bar,Golden Sardine,"A unique bar-bookstore hybrid offering a selection of wines and literary ambiance, focusing on poetry and literature.",3086 24th Street,Great for book lovers who enjoy a quiet drink in a literary setting.
Nightspots,Bar,The Felix,A vibrant bar offering a lively atmosphere with a diverse cocktail menu and occasional live music.,55 Cyril Magnin Street,Ideal for patrons seeking a dynamic and energetic environment.
Nightspots,Bar,Key Klub,"A modern speakeasy-style bar featuring craft cocktails in an intimate, dimly lit setting.",850 Bush Street,Perfect for those looking for a hidden gem with a Prohibition-era vibe.
Nightspots,Bar,The Lush Lounge,A cozy bar offering a wide selection of cocktails in a relaxed setting.,1221 Polk Street,Great for patrons seeking a laid-back environment with quality drinks.
Nightspots,Bar,Butter,A kitschy bar offering comfort food-inspired cocktails and a retro atmosphere.,354 11th Street,"Ideal for those looking for a fun, nostalgic experience with creative drinks."
Nightspots,Bar,Elixir,"One of the city's oldest saloons, offering a historic ambiance with a modern cocktail menu.",3200 16th Street,Perfect for history buffs and cocktail enthusiasts alike.
Nightspots,Bar,Skylark,"A lively club known for its hip-hop and R&B nights, featuring local DJs and a vibrant dance floor.",3089 16th Street,Great for fans of urban music genres seeking an energetic night out.
Nightspots,Bar,The View Lounge,"Located atop the Marriott Marquis, this lounge offers sweeping views of the city skyline alongside a menu of signature cocktails.",780 Mission Street,Perfect for a relaxed evening with panoramic vistas.
Nightspots,Bar,R Bar,"A neighborhood bar known for its friendly atmosphere, diverse beer selection, and engaging trivia nights.",1176 Sutter Street,Great for those seeking a casual spot to unwind and socialize.
Nightspots,Bar,620 Jones,"A rooftop bar offering a spacious patio with lush greenery, serving craft cocktails and light bites.",620 Jones Street,Ideal for open-air drinks in a garden-like setting.
Nightspots,Bar,Charmaine's,"A chic rooftop bar offering craft cocktails and small plates, with stylish decor and outdoor seating.",1100 Market Street,Ideal for a trendy night out with city views.
Nightspots,Bar,Trick Dog,"A bi-level bar known for its inventive cocktail menu and artistic presentation, with a frequently changing theme.",3010 20th Street,Great for cocktail enthusiasts looking for creative and seasonal drinks.
Nightspots,Bar,Zeitgeist,"A popular beer garden offering a wide selection of beers on tap, with an expansive outdoor patio and occasional live music.",199 Valencia Street,Ideal for beer enthusiasts and those seeking a casual outdoor setting.
Nightspots,Club,Public Works,"A community-minded nightclub and event space hosting a variety of music genres, art shows, and performances.",161 Erie Street,Known for its inclusive atmosphere and diverse event lineup.
Nightspots,Club,DNA Lounge,"A multifaceted venue featuring DJ dancing, live music, and burlesque performances across multiple dance floors and stages.",375 Eleventh Street,Known for its diverse events and late-night offerings.
Nightspots,Club,Madrone Art Bar,"A unique venue combining art and nightlife, featuring rotating art installations and themed dance nights.",500 Divisadero Street,Ideal for art enthusiasts seeking a creative and lively atmosphere.
Nightspots,Club,Cat Club,"Features two dance floors and a go-go cage, with music ranging from '80s hits to goth and new wave.",1190 Folsom Street,Great for fans of retro and alternative dance music.
Nightspots,Club,Audio,"A club boasting a state-of-the-art sound system and a focus on electronic dance music, providing an immersive auditory experience.",316 11th Street,Ideal for EDM fans seeking high-quality sound and performances.
